,,,marketConfig,,,,,,,loanConfig,,,underlyingConfig,,,,,,,,collateralConfig,,,,,,,,,,,
Market Type,salt,collateralCapForGt,maturity,lendTakerFeeRatio,lendMakerFeeRatio,borrowTakerFeeRatio,borrowMakerFeeRatio,mintGtFeeRatio,mintGtFeeRef,liquidationLtv,maxLtv,liquidatable,tokenAddr,priceFeedAddr,heartBeat,backupPriceFeedAddr,name,symbol,decimals,initialPrice,tokenAddr,priceFeedAddr,heartBeat,backupPriceFeedAddr,name,symbol,decimals,initialPrice,gtKeyIdentifier,note,,
Borrow,0,"437,808,584,627,820,000,000",1748563200,2000000,2000000,3000000,3000000,10000000,4000000,94000000,90000000,true,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0x639Fe6ab55C921f74e7fac1ee960C0B6293ba612,86400,0xd68AeF8Ab6D86CeC502e08Faa376297d836FdfA6,Wrapped ETH,WETH,18,1908.6149,0x5979D7b546E38E414F7E9822514be443A4800529,0xB3ae8A16CF827d193Ae51a92fd2630e6839F5761,86400,0xB3ae8A16CF827d193Ae51a92fd2630e6839F5761,Wrapped liquid staked Ether 2.0,wstETH,18,2284.10,GearingTokenWithERC20,USD/wstETH  = ETH/wstETH * USD/ETH,0xb523AE262D20A936BC152e6023996e46FDC2A95D,0x639Fe6ab55C921f74e7fac1ee960C0B6293ba612
Borrow,0,"437,808,584,627,820,000,000",1748563200,2000000,2000000,3000000,3000000,10000000,10000000,85000000,81000000,true,0xaf88d065e77c8cC2239327C5EDb3A432268e5831,0x50834F3163758fcC1Df9973b6e91f0F0F0434aD3,86400,0x399A965083E512011c82AAEB6A86036463010C95,USD Coin,USDC,6,1.0000,0x5979D7b546E38E414F7E9822514be443A4800529,0xB3ae8A16CF827d193Ae51a92fd2630e6839F5761,86400,0xB3ae8A16CF827d193Ae51a92fd2630e6839F5761,Wrapped liquid staked Ether 2.0,wstETH,18,2284.10,GearingTokenWithERC20,USD/wstETH  = ETH/wstETH * USD/ETH,0xb523AE262D20A936BC152e6023996e46FDC2A95D,0x639Fe6ab55C921f74e7fac1ee960C0B6293ba612
Borrow,0,"1,007,693,132",1748563200,2000000,2000000,3000000,3000000,10000000,10000000,86000000,82000000,true,0xaf88d065e77c8cC2239327C5EDb3A432268e5831,0x50834F3163758fcC1Df9973b6e91f0F0F0434aD3,86400,0x399A965083E512011c82AAEB6A86036463010C95,USD Coin,USDC,6,1.0000,0x2f2a2543B76A4166549F7aaB2e75Bef0aefC5B0f,0xd0C7101eACbB49F3deCcCc166d238410D6D46d57,86400,0x31FEeac9552a6215BD23Bd8c590B34BF04d865AE,Wrapped BTC,WBTC,8,99236.56,GearingTokenWithERC20,,,
Borrow,0,"493,136,352,042,384,000,000",1748563200,2000000,2000000,3000000,3000000,10000000,4000000,93000000,89000000,true,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0x639Fe6ab55C921f74e7fac1ee960C0B6293ba612,86400,0xd68AeF8Ab6D86CeC502e08Faa376297d836FdfA6,Wrapped ETH,WETH,18,1908.6149,0x35751007a407ca6FEFfE80b3cB397736D2cf4dbe,0x8f29Df42c617C222Bc2B416AC8a022E85e853276,86400,0xc2052500D0Cb8E1E8838717502A6B113C64Ed258,Wrapped eETH,weETH,18,2027.84,GearingTokenWithERC20,USD/weETH  = ETH/weETH * USD/ETH,0xE141425bc1594b8039De6390db1cDaf4397EA22b,0x639Fe6ab55C921f74e7fac1ee960C0B6293ba612
Borrow,0,"523,940,170,988,164,000,000",1748563200,2000000,2000000,3000000,3000000,10000000,10000000,86000000,82000000,true,0xaf88d065e77c8cC2239327C5EDb3A432268e5831,0x50834F3163758fcC1Df9973b6e91f0F0F0434aD3,86400,0x399A965083E512011c82AAEB6A86036463010C95,USD Coin,USDC,6,1.0000,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0x639Fe6ab55C921f74e7fac1ee960C0B6293ba612,86400,0xd68AeF8Ab6D86CeC502e08Faa376297d836FdfA6,Wrapped ETH,WETH,18,1908.61,GearingTokenWithERC20,,,
Borrow,0,"2,760,143,527,463,430,000,000,000",1748563200,2000000,2000000,3000000,3000000,10000000,10000000,70000000,60000000,true,0xaf88d065e77c8cC2239327C5EDb3A432268e5831,0x50834F3163758fcC1Df9973b6e91f0F0F0434aD3,86400,0x399A965083E512011c82AAEB6A86036463010C95,USD Coin,USDC,6,1.0000,0x912CE59144191C1204E64559FE8253a0e49E6548,0xb2A824043730FE05F3DA2efaFa1CBbe83fa548D6,86400,0xb2A824043730FE05F3DA2efaFa1CBbe83fa548D6,Arbitrum,ARB,18,0.36,GearingTokenWithERC20,,,
Leverage,0,"528,623,282,166,898,000,000",1750982400,2000000,2000000,3000000,3000000,10000000,4000000,94000000,90000000,true,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0x639Fe6ab55C921f74e7fac1ee960C0B6293ba612,86400,0xd68AeF8Ab6D86CeC502e08Faa376297d836FdfA6,Wrapped ETH,WETH,18,1908.6149,0xb33808ea0e883138680BA29311a220A7377cdb92,0x2a2a0e32c54670045256EBcA681887E32e689E97,86400,0x745716b8c00CAE49c422D706f630A1084B906759,PT weETH 26JUN2025,PT-weETH-26JUN2025,18,1891.71,GearingTokenWithERC20,,,
Borrow,0,"455,279,691,624,029,000,000",1750982400,2000000,2000000,3000000,3000000,10000000,4000000,94000000,90000000,true,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0x639Fe6ab55C921f74e7fac1ee960C0B6293ba612,86400,0xd68AeF8Ab6D86CeC502e08Faa376297d836FdfA6,Wrapped ETH,WETH,18,1908.6149,0x5979D7b546E38E414F7E9822514be443A4800529,0xB3ae8A16CF827d193Ae51a92fd2630e6839F5761,86400,0xB3ae8A16CF827d193Ae51a92fd2630e6839F5761,Wrapped liquid staked Ether 2.0,wstETH,18,2284.10,GearingTokenWithERC20,,,
Borrow,0,"455,279,691,624,029,000,000",1750982400,2000000,2000000,3000000,3000000,10000000,10000000,85000000,81000000,true,0xaf88d065e77c8cC2239327C5EDb3A432268e5831,0x50834F3163758fcC1Df9973b6e91f0F0F0434aD3,86400,0x399A965083E512011c82AAEB6A86036463010C95,USD Coin,USDC,6,1.0000,0x5979D7b546E38E414F7E9822514be443A4800529,0xB3ae8A16CF827d193Ae51a92fd2630e6839F5761,86400,0xB3ae8A16CF827d193Ae51a92fd2630e6839F5761,Wrapped liquid staked Ether 2.0,wstETH,18,2284.10,GearingTokenWithERC20,,,
